strategy,vehicle_id,warehouse_id,stop_id,package_count,distance_km,cost,utilization_percent,status
Random,V1,W1,S1,1,9.00,162.00,100.0,DELIVERED
Random,V6,W2,S6,1,6.00,90.00,100.0,DELIVERED
Random,V1,W1,S1,1,0.00,0.00,100.0,DELIVERED
Random,V6,W2,S8,1,7.00,105.00,100.0,DELIVERED
Random,V1,W1,S5,1,13.00,234.00,100.0,DELIVERED
Random,V6,W2,S8,1,0.00,0.00,100.0,DELIVERED
Random,V5,W2,S6,1,6.00,126.00,100.0,DELIVERED
Random,V1,W1,S3,1,6.00,108.00,100.0,DELIVERED
Random,V1,W1,S2,1,4.00,72.00,100.0,DELAYED
Random,V5,W2,S7,1,3.00,63.00,100.0,DELIVERED
Random,V2,W1,S2,1,12.00,264.00,100.0,DELIVERED
Random,V5,W2,S9,1,4.00,84.00,100.0,DELIVERED
Random,V5,W2,S7,1,4.00,84.00,100.0,DELIVERED
Random,V2,W1,S3,1,4.00,88.00,100.0,DELIVERED
Random,NA,W1,S11,1,0.00,0.00,0.0,UNDELIVERED
Random,V2,W1,S4,1,9.00,198.00,100.0,DELAYED
Random,V2,W1,S5,1,3.00,66.00,100.0,DELAYED
Random,V3,W1,S4,1,15.00,240.00,33.3,DELIVERED
Random,V4,W2,S9,1,13.00,221.00,80.0,DELIVERED
Random,V4,W2,S7,1,4.00,68.00,80.0,DELIVERED
Random,V4,W2,S10,1,10.00,170.00,80.0,DELAYED
Random,V4,W2,S10,1,0.00,0.00,80.0,DELAYED
Nearest Neighbor,V1,W1,S1,1,9.00,162.00,100.0,DELIVERED
Nearest Neighbor,V1,W1,S1,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V1,W1,S2,1,3.00,54.00,100.0,DELIVERED
Nearest Neighbor,V1,W1,S2,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V1,W1,S3,1,4.00,72.00,100.0,DELIVERED
Nearest Neighbor,V2,W1,S3,1,13.00,286.00,100.0,DELIVERED
Nearest Neighbor,V2,W1,S5,1,6.00,132.00,100.0,DELIVERED
Nearest Neighbor,V2,W1,S5,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V2,W1,S4,1,3.00,66.00,100.0,DELIVERED
Nearest Neighbor,V3,W1,S4,1,15.00,240.00,33.3,DELIVERED
Nearest Neighbor,V4,W2,S6,1,6.00,102.00,100.0,DELIVERED
Nearest Neighbor,V4,W2,S6,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V4,W2,S7,1,3.00,51.00,100.0,DELIVERED
Nearest Neighbor,V4,W2,S7,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V4,W2,S7,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V5,W2,S8,1,13.00,273.00,100.0,DELIVERED
Nearest Neighbor,V5,W2,S8,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V5,W2,S9,1,2.00,42.00,100.0,DELIVERED
Nearest Neighbor,V5,W2,S9,1,0.00,0.00,100.0,DELIVERED
Nearest Neighbor,V6,W2,S10,1,19.00,285.00,66.7,DELAYED
Nearest Neighbor,V6,W2,S10,1,0.00,0.00,66.7,DELAYED
Nearest Neighbor,NA,W1,S11,1,0.00,0.00,0.0,UNDELIVERED
Optimized Greedy,V6,W2,S6,1,6.00,90.00,100.0,DELIVERED
Optimized Greedy,V6,W2,S6,1,0.00,0.00,100.0,DELIVERED
Optimized Greedy,V6,W2,S7,1,3.00,45.00,100.0,DELIVERED
Optimized Greedy,V3,W1,S1,1,9.00,144.00,100.0,DELIVERED
Optimized Greedy,V3,W1,S1,1,0.00,0.00,100.0,DELIVERED
Optimized Greedy,V3,W1,S2,1,3.00,48.00,100.0,DELIVERED
Optimized Greedy,V4,W2,S7,1,9.00,153.00,100.0,DELIVERED
Optimized Greedy,V4,W2,S7,1,0.00,0.00,100.0,DELIVERED
Optimized Greedy,V4,W2,S9,1,4.00,68.00,100.0,DELIVERED
Optimized Greedy,V4,W2,S9,1,0.00,0.00,100.0,DELIVERED
Optimized Greedy,V4,W2,S8,1,2.00,34.00,100.0,DELIVERED
Optimized Greedy,V1,W1,S2,1,12.00,216.00,100.0,DELIVERED
Optimized Greedy,V1,W1,S3,1,4.00,72.00,100.0,DELIVERED
Optimized Greedy,V1,W1,S3,1,0.00,0.00,100.0,DELIVERED
Optimized Greedy,V1,W1,S5,1,6.00,108.00,100.0,DELIVERED
Optimized Greedy,V1,W1,S5,1,0.00,0.00,100.0,DELIVERED
Optimized Greedy,V5,W2,S8,1,13.00,273.00,75.0,DELIVERED
Optimized Greedy,V2,W1,S4,1,15.00,330.00,50.0,DELIVERED
Optimized Greedy,V2,W1,S4,1,0.00,0.00,50.0,DELIVERED
Optimized Greedy,V5,W2,S10,1,8.00,168.00,75.0,DELAYED
Optimized Greedy,V5,W2,S10,1,0.00,0.00,75.0,DELAYED
Optimized Greedy,NA,W1,S11,1,0.00,0.00,0.0,UNDELIVERED
Hungarian Algorithm,V1,W1,S2,1,12.00,216.00,100.0,DELIVERED
Hungarian Algorithm,V1,W1,S2,1,0.00,0.00,100.0,DELIVERED
Hungarian Algorithm,V1,W1,S3,1,4.00,72.00,100.0,DELIVERED
Hungarian Algorithm,V1,W1,S3,1,0.00,0.00,100.0,DELIVERED
Hungarian Algorithm,V1,W1,S4,1,9.00,162.00,100.0,DELIVERED
Hungarian Algorithm,V2,W1,S1,1,9.00,198.00,50.0,DELIVERED
Hungarian Algorithm,V2,W1,S1,1,0.00,0.00,50.0,DELIVERED
Hungarian Algorithm,V3,W1,S4,1,15.00,240.00,100.0,DELIVERED
Hungarian Algorithm,V3,W1,S5,1,3.00,48.00,100.0,DELIVERED
Hungarian Algorithm,V3,W1,S5,1,0.00,0.00,100.0,DELIVERED
Hungarian Algorithm,V4,W2,S7,1,9.00,153.00,100.0,DELIVERED
Hungarian Algorithm,V4,W2,S7,1,0.00,0.00,100.0,DELIVERED
Hungarian Algorithm,V4,W2,S9,1,4.00,68.00,100.0,DELIVERED
Hungarian Algorithm,V4,W2,S9,1,0.00,0.00,100.0,DELIVERED
Hungarian Algorithm,V4,W2,S8,1,2.00,34.00,100.0,DELIVERED
Hungarian Algorithm,V5,W2,S6,1,6.00,126.00,75.0,DELIVERED
Hungarian Algorithm,V5,W2,S6,1,0.00,0.00,75.0,DELIVERED
Hungarian Algorithm,V5,W2,S7,1,3.00,63.00,75.0,DELIVERED
Hungarian Algorithm,V6,W2,S8,1,13.00,195.00,100.0,DELIVERED
Hungarian Algorithm,V6,W2,S10,1,8.00,120.00,100.0,DELAYED
Hungarian Algorithm,V6,W2,S10,1,0.00,0.00,100.0,DELAYED
Hungarian Algorithm,NA,W1,S11,1,0.00,0.00,0.0,UNDELIVERED
